anio,precio_promedio,dolar_promedio
2012,789.4717589180109,486.74655870445343
2013,790.7374613003096,494.9951612903226
2014,728.3161856963613,570.0059036144578
2015,670.9658068386323,654.249
2016,703.7460984393757,676.8324206349206
2017,757.1318944844124,649.3287854251012
2018,800.3694493783304,640.2907723577235
2019,840.8318789994182,702.6310483870968
2020,762.1558669001752,792.2218326693227
2021,1010.1411220358589,759.27284
2022,1285.7768878718537,872.1138645418326
2023,1291.986673247779,839.0734008097166
2024,1270.8339542309739,943.5824193548387
2025,1330.3284946236558,951.6412096774193
2026,1770.13645943098,892.7671774193549
