anio,combustible_limpio,precio
2012,Diesel,618.8665691796649
2012,Gasolina 93,789.4717589180109
2012,Gasolina 95,809.4896353560922
2012,Gasolina 97,829.9255274662612
2013,Diesel,645.2663010359537
2013,Gasolina 93,790.7374613003096
2013,Gasolina 95,810.5716923076923
2013,Gasolina 97,798.7682072829132
2014,Diesel,578.5018472906404
2014,Gasolina 93,728.3161856963613
2014,Gasolina 95,755.5808457711443
2014,Gasolina 97,771.3349893541518
2015,Diesel,452.3400117855038
2015,Gasolina 93,670.9658068386323
2015,Gasolina 95,711.6979104477612
2015,Gasolina 97,750.896978021978
2016,Diesel,486.5679811653914
2016,Gasolina 93,703.7460984393757
2016,Gasolina 95,744.0644391408115
2016,Gasolina 97,768.9232350925291
2017,Diesel,542.45
2017,Gasolina 93,757.1318944844124
2017,Gasolina 95,780.5594739988045
2017,Gasolina 97,802.3076923076923
2018,Diesel,629.3895953757226
2018,Gasolina 93,800.3694493783304
2018,Gasolina 95,829.3646506165591
2018,Gasolina 97,857.6986577181208
2019,Diesel,653.0466970387243
2019,Gasolina 93,840.8318789994182
2019,Gasolina 95,871.9768518518518
2019,Gasolina 97,898.1396574440053
2020,Diesel,520.1780194619347
2020,Gasolina 93,762.1558669001752
2020,Gasolina 95,788.0471753057659
2020,Gasolina 97,812.2175346077785
2021,Diesel,798.2793867120954
2021,Gasolina 93,1010.1411220358589
2021,Gasolina 95,1027.9688581314879
2021,Gasolina 97,1054.3322559793148
2022,Diesel,1178.673949579832
2022,Gasolina 93,1285.7768878718537
2022,Gasolina 95,1328.4149971379509
2022,Gasolina 97,1372.0051679586563
2023,Diesel,1067.1313081822636
2023,Gasolina 93,1291.986673247779
2023,Gasolina 95,1333.5680356259277
2023,Gasolina 97,1422.350953678474
2024,Diesel,995.568720379147
2024,Gasolina 93,1270.8339542309739
2024,Gasolina 95,1300.2655246252677
2024,Gasolina 97,1317.7049083382615
2025,Diesel,1048.8643349231584
2025,Gasolina 93,1330.3284946236558
2025,Gasolina 95,1471.1708894878707
2025,Gasolina 97,1359.8776978417266
2026,Diesel,1528.7084412221648
2026,Gasolina 93,1770.13645943098
2026,Gasolina 95,1642.862796833773
2026,Gasolina 97,1700.6546635183
