anio,decil,ingreso_percapita_media,ingreso_percapita_minimo,ingreso_percapita_maximo
2006,I,14562.595504249444,0,28667
2006,II,36646.3615704919,28669,44000
2006,III,50781.76353329539,44014,58333
2006,IV,66037.1221400181,58334,74310
2006,V,82550.39132387322,74311,91375
2006,VI,101821.50715775407,91378,113333
2006,VII,128844.18775390116,113334,146389
2006,VIII,171676.5906262484,146417,200384
2006,IX,255243.45098627856,200400,325625
2006,X,709091.7803141787,325683,31000000
2006,Total,161679.22695478972,0,31000000
2009,I,13780.730841067008,0,32500
2009,II,42759.95835823368,32555,51620
2009,III,60298.32753906536,51625,69667
2009,IV,78715.398211305,69688,87571
2009,V,98808.31414745568,87575,110000
2009,VI,123726.60200658867,110001,138333
2009,VII,157020.50946069346,138334,177879
2009,VIII,207095.64348544308,177900,243750
2009,IX,310906.04721464694,243751,409000
2009,X,865746.7566807843,409166,5631667
2009,Total,195729.51024834168,0,5631667
2011,I,20165.5399414519,0,40000
2011,II,51371.6056784806,40023,60667
2011,III,71283.8331776856,60693,82042
2011,IV,92447.02810969234,82056,101944
2011,V,115071.6699806694,101959,126667
2011,VI,142007.1180539926,126730,158125
2011,VII,179165.70576276229,158144,200000
2011,VIII,237398.94541592407,200039,281167
2011,IX,363350.20203926606,281181,480000
2011,X,978933.9714607807,480226,21166667
2011,Total,224813.9435984742,0,21166667
2013,I,26458.097093539087,0,51657
2013,II,65509.83238882518,51667,78333
2013,III,91175.85642084689,78334,102917
2013,IV,116294.69302988551,102919,130000
2013,V,145225.34294094003,130003,160833
2013,VI,180525.2079378076,160834,200000
2013,VII,226866.8217597884,200012,256667
2013,VIII,303436.8718756125,256682,359000
2013,IX,464829.1318793709,359028,612500
2013,X,1276388.5952561693,612501,16377465
2013,Total,289397.0267393658,0,16377465
2015,I,31492.258285845954,0,60833
2015,II,77955.5662904839,60834,93750
2015,III,108214.27623259785,93778,122927
2015,IV,138234.93116431436,122938,153556
2015,V,172813.5933047183,153571,192417
2015,VI,214596.84427841616,192438,240000
2015,VII,270147.3420203121,240009,304167
2015,VIII,356626.66420057253,304222,417361
2015,IX,533809.4096977744,417417,697750
2015,X,1411624.7607441903,697917,54967918
2015,Total,330897.87828653,0,54967918
2017,I,34173.21663178548,0,67500
2017,II,87007.75483911428,67501,102000
2017,III,121039.82565039629,102022,137500
2017,IV,155118.18262750228,137515,174167
2017,V,193755.89055779352,174171,215000
2017,VI,242900.35513014413,215010,271389
2017,VII,306094.596602544,271427,349500
2017,VIII,402117.243821628,349584,470667
2017,IX,599711.2076550924,470833,798898
2017,X,1590007.3172735702,798959,48898332
2017,Total,373014.6831861057,0,48898332
2020,I,5763.574217737511,0,31154
2020,II,60439.64988389118,31167,83333
2020,III,105145.12645052456,83334,125000
2020,IV,144787.9176474855,125042,163750
2020,V,187840.1977067387,163771,212084
2020,VI,241800.29974614392,212222,275000
2020,VII,320910.13231113163,275001,372500
2020,VIII,445174.8345491451,372580,532084
2020,IX,695807.9851858325,532167,916667
2020,X,1864403.019492513,916944,225200000
2020,Total,406885.82036709576,0,225200000
2022,I,28663.67246543923,0,80000
2022,II,111097.04522959728,80056,137500
2022,III,163927.27278794974,137533,190000
2022,IV,213210.81799548652,190003,240000
2022,V,271175.2197302785,240167,300000
2022,VI,342627.9251082113,300111,387262
2022,VII,440859.490504522,387292,500000
2022,VIII,582061.1749173438,500084,680000
2022,IX,861228.0122143865,680028,1119167
2022,X,2130500.8243048005,1119445,35143333
2022,Total,512886.0799440648,0,35143333
2024,I,30682.938372243687,0,87500
2024,II,126026.54426936613,87619,161667
2024,III,191204.4872759485,161709,221400
2024,IV,253496.26030358445,221426,285704
2024,V,323408.7774395728,285714,365000
2024,VI,414235.26896041125,365074,470000
2024,VII,531241.2380388883,470084,600000
2024,VIII,703153.5482779652,600027,825000
2024,IX,1047668.0989921471,825333,1356250
2024,X,2467418.545140747,1356623,30000000
2024,Total,608212.0340823424,0,30000000
