anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2006,Ingreso del trabajo,Arica y Parinacota,286185.74811254634,602420.99977691,15335.662443789775,32281.56944417748
2009,Ingreso del trabajo,Arica y Parinacota,491090.9769418373,904098.4885499215,36379.26929014839,66974.2347631632
2011,Ingreso del trabajo,Arica y Parinacota,480348.7567642683,829562.3029318918,26642.847422619732,46012.197498864276
2013,Ingreso del trabajo,Arica y Parinacota,531180.8176527643,877510.7107623662,24343.062011495815,40214.738442991074
2015,Ingreso del trabajo,Arica y Parinacota,643235.3534310737,967425.9715603343,50679.89882100178,76222.56782678665
2017,Ingreso del trabajo,Arica y Parinacota,626814.8784638072,898225.7208386364,30651.724490272325,43923.921194560244
2020,Ingreso del trabajo,Arica y Parinacota,630793.0499772439,832646.8259699622,25831.96958155156,34098.19984764805
2022,Ingreso del trabajo,Arica y Parinacota,909922.879848312,993635.7847943566,34855.03400481688,38061.697133260015
2024,Ingreso del trabajo,Arica y Parinacota,1037066.9704816821,1037066.9704816821,28551.8217236273,28551.8217236273
2006,Ingreso del trabajo,Tarapacá,368381.31384079275,775442.6656348688,21096.565848631253,44408.27111136878
2009,Ingreso del trabajo,Tarapacá,444202.5903669434,817776.9688655435,53794.41477582021,99035.51760228496
2011,Ingreso del trabajo,Tarapacá,577290.7916047593,996981.1971014171,23903.542282438295,41281.417521770956
2013,Ingreso del trabajo,Tarapacá,805218.2098393018,1330220.482654526,45939.443145539466,75891.9600764312
2015,Ingreso del trabajo,Tarapacá,1002173.8588569498,1507269.4837208542,170700.13427665108,256733.00195208314
2017,Ingreso del trabajo,Tarapacá,816490.8177984057,1170031.3419051156,31033.275632449553,44470.68398130022
2020,Ingreso del trabajo,Tarapacá,858101.6437374377,1132694.1697334182,56950.196829868706,75174.25981542667
2022,Ingreso del trabajo,Tarapacá,998647.6702018792,1090523.2558604523,27588.641300383282,30126.796300018515
2024,Ingreso del trabajo,Tarapacá,1245327.1159630313,1245327.1159630313,32124.93610576422,32124.93610576422
2006,Ingreso del trabajo,Antofagasta,552106.4375220262,1162184.0509838653,32100.2389695308,67571.00303086232
2009,Ingreso del trabajo,Antofagasta,646248.0067945005,1189742.580508674,58516.87338863799,107729.56390848257
2011,Ingreso del trabajo,Antofagasta,817802.707056243,1412345.275086133,46535.62014141053,80367.01598421596
2013,Ingreso del trabajo,Antofagasta,973935.9890789727,1608942.253958462,55809.9534103443,92198.04303388878
2015,Ingreso del trabajo,Antofagasta,964075.256697443,1449969.1860729551,48127.57713019162,72383.87600380815
2017,Ingreso del trabajo,Antofagasta,1049704.5431574583,1504226.610344638,65966.53408287711,94530.04334076283
2020,Ingreso del trabajo,Antofagasta,947930.6421863169,1251268.4476859388,58181.85933693955,76800.05432476022
2022,Ingreso del trabajo,Antofagasta,1192603.9735568168,1302323.539124044,38810.597856947854,42381.17285978707
2024,Ingreso del trabajo,Antofagasta,1425494.7064330017,1425494.7064330017,32442.532719572107,32442.532719572107
2006,Ingreso del trabajo,Atacama,492548.84882205375,1036815.3267704248,31133.63296048388,65536.29738181857
2009,Ingreso del trabajo,Atacama,494045.10115915816,909537.0312340101,35835.0246281578,65972.2803404385
2011,Ingreso del trabajo,Atacama,563168.2625398161,972591.5894062626,24573.401466916013,42438.26433336397
2013,Ingreso del trabajo,Atacama,726537.1055299431,1200239.2983354668,40302.28600713404,66579.37648378547
2015,Ingreso del trabajo,Atacama,769445.7894208045,1157246.4672888897,23026.849476644617,34632.381612873505
2017,Ingreso del trabajo,Atacama,789284.3781340541,1131044.5138660993,46234.93107293765,66254.65622751966
2020,Ingreso del trabajo,Atacama,767779.4243784065,1013468.840179497,39881.68480274518,52643.82393962366
2022,Ingreso del trabajo,Atacama,925431.3319010301,1010571.0144359252,32426.339547016036,35409.562785341484
2024,Ingreso del trabajo,Atacama,1138337.5490888031,1138337.5490888031,29831.71310985596,29831.71310985596
