anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2006,Ingreso del trabajo,Metropolitana,576711.0679388555,1213976.7980112913,19688.551306809477,41444.4005008339
2009,Ingreso del trabajo,Metropolitana,671880.1574874972,1236931.369934481,19989.768420361743,36801.16366188596
2011,Ingreso del trabajo,Metropolitana,706232.609616534,1219663.716807754,26402.051253878213,45596.34251544765
2013,Ingreso del trabajo,Metropolitana,872568.7359742242,1441483.5518294156,28120.311017765216,46454.753801348124
2015,Ingreso del trabajo,Metropolitana,983646.2217891826,1479403.9175709246,22253.25680094458,33468.89822862064
2017,Ingreso del trabajo,Metropolitana,1101483.6291067733,1578426.0405100102,30728.082682150896,44033.34248352223
2020,Ingreso del trabajo,Metropolitana,1050073.8281648778,1386097.4531776358,26030.86038111029,34360.73570306559
2022,Ingreso del trabajo,Metropolitana,1399862.7022775856,1528650.0708871232,24997.437291559,27297.20152238244
2024,Ingreso del trabajo,Metropolitana,1640885.5222403123,1640885.5222403123,22940.1864005568,22940.1864005568
2006,Ingreso autónomo,Metropolitana,647364.8792967516,1362703.0709196627,20484.225058288604,43119.29374769752
2009,Ingreso autónomo,Metropolitana,770317.9114442305,1418155.2749688271,24292.218524111137,44721.97430288868
2011,Ingreso autónomo,Metropolitana,803436.5619012536,1387534.9424034653,29541.77297652907,51018.641930465725
2013,Ingreso autónomo,Metropolitana,984683.0082216924,1626696.3295822325,29753.20435769657,49152.29359891472
2015,Ingreso autónomo,Metropolitana,1121339.0011395076,1686493.8577138125,24122.72088788441,36280.57221537815
2017,Ingreso autónomo,Metropolitana,1252706.422772129,1795128.3038324616,33860.316515852646,48521.83356721683
2020,Ingreso autónomo,Metropolitana,1239652.44011664,1636341.2209539628,29343.96912845831,38734.03924956496
2022,Ingreso autónomo,Metropolitana,1609252.5701218671,1757303.8065730815,26632.63640104826,29082.83894994468
2024,Ingreso autónomo,Metropolitana,1882235.758751912,1882235.758751912,25062.38751750609,25062.38751750608
2006,Subsidios monetarios,Metropolitana,4278.758257938928,9006.786132961464,162.4356636223008,341.9270719249433
2009,Subsidios monetarios,Metropolitana,11931.075279180011,21965.109588970507,384.6070802477862,708.0616347361737
2011,Subsidios monetarios,Metropolitana,11207.849112141666,19355.955416668683,635.6726072253693,1097.8065926782135
2013,Subsidios monetarios,Metropolitana,14644.13949423181,24192.11844447096,571.4342783995264,944.009427916018
2015,Subsidios monetarios,Metropolitana,19572.282448922,29436.71280317869,520.4168646469267,782.7069644289786
2017,Subsidios monetarios,Metropolitana,21437.75382389864,30720.30122964674,668.6693679872419,958.2032043257174
2020,Subsidios monetarios,Metropolitana,39334.9258913692,51922.10217660729,1174.269328950345,1550.0355142144558
2022,Subsidios monetarios,Metropolitana,56000.41011071718,61152.44784090298,1001.3443406727524,1093.4680200146452
2024,Subsidios monetarios,Metropolitana,72751.25972002043,72751.25972002043,1169.27790193042,1169.2779019304198
2006,Ingreso monetario,Metropolitana,651643.6375546905,1371709.8570526256,20410.621684879017,42964.35864667032
2009,Ingreso monetario,Metropolitana,782248.9867234104,1440120.384557794,24226.481764259723,44600.95292800221
2011,Ingreso monetario,Metropolitana,814644.4110133953,1406890.8978201346,29516.064536200694,50974.24345401863
2013,Ingreso monetario,Metropolitana,999327.147715924,1650888.4480267009,29703.428437676528,49070.06377904158
2015,Ingreso monetario,Metropolitana,1140911.2835884297,1715930.5705169905,23924.93017176193,35983.09497832993
2017,Ingreso monetario,Metropolitana,1274144.1765960278,1825848.6050621052,33653.582128948256,48225.58319078285
2020,Ingreso monetario,Metropolitana,1278987.3660367792,1688263.3231685483,29135.46072676068,38458.80815932409
2022,Ingreso monetario,Metropolitana,1665252.9802325843,1818456.2544139924,26397.392327100773,28825.952421194022
2024,Ingreso monetario,Metropolitana,1954987.0184719325,1954987.0184719325,24836.574447091767,24836.574447091763
